,IP_8080
0,"{'amp_fac': 10.77777777777778, 'request_code': 0}"
1,"{'amp_fac': 62.0, 'request_code': 1}"
2,"{'amp_fac': 1.0, 'request_code': 2}"
3,"{'amp_fac': 1.0, 'request_code': 3}"
4,"{'amp_fac': 3.2222222222222223, 'request_code': 4}"
5,"{'amp_fac': 2.111111111111111, 'request_code': 6}"
6,"{'amp_fac': 27.11111111111111, 'request_code': 7}"
7,"{'amp_fac': 1.4444444444444444, 'request_code': 9}"
8,"{'amp_fac': 1.0, 'request_code': 10}"
9,"{'amp_fac': 2.0, 'request_code': 11}"
10,"{'amp_fac': 2.0, 'request_code': 12}"
11,"{'amp_fac': 2.0, 'request_code': 13}"
12,"{'amp_fac': 1.0, 'request_code': 14}"
13,"{'amp_fac': 1.0, 'request_code': 15}"
14,"{'amp_fac': 88.33333333333333, 'request_code': 16}"
15,"{'amp_fac': 1.0, 'request_code': 17}"
16,"{'amp_fac': 1.0, 'request_code': 19}"
17,"{'amp_fac': 1.0, 'request_code': 20}"
18,"{'amp_fac': 2.0, 'request_code': 22}"
19,"{'amp_fac': 2.0, 'request_code': 23}"
20,"{'amp_fac': 1.0, 'request_code': 24}"
21,"{'amp_fac': 1.0, 'request_code': 25}"
22,"{'amp_fac': 1.0, 'request_code': 26}"
23,"{'amp_fac': 1.0, 'request_code': 27}"
24,"{'amp_fac': 2.0, 'request_code': 29}"
25,"{'amp_fac': 1.0, 'request_code': 30}"
26,"{'amp_fac': 2.0, 'request_code': 31}"
27,"{'amp_fac': 1.0, 'request_code': 33}"
28,"{'amp_fac': 2.6666666666666665, 'request_code': 34}"
29,"{'amp_fac': 1.0, 'request_code': 35}"
30,"{'amp_fac': 1.0, 'request_code': 36}"
31,"{'amp_fac': 1.0, 'request_code': 37}"
32,"{'amp_fac': 2.6666666666666665, 'request_code': 38}"
33,"{'amp_fac': 1.0, 'request_code': 39}"
34,"{'amp_fac': 1.0, 'request_code': 40}"
35,"{'amp_fac': 2.0, 'request_code': 41}"
36,"{'amp_fac': 1.0, 'request_code': 42}"
37,"{'amp_fac': 2.0, 'request_code': 43}"
38,"{'amp_fac': 1.0, 'request_code': 44}"
39,"{'amp_fac': 1.0, 'request_code': 45}"
