,risk,request_code
0,10.77777777777778,0.0
1,62.0,1.0
2,1.0,2.0
3,1.0,3.0
4,3.2222222222222223,4.0
5,2.111111111111111,6.0
6,27.11111111111111,7.0
7,1.4444444444444444,9.0
8,1.0,10.0
9,2.0,11.0
10,2.0,12.0
11,2.0,13.0
12,1.0,14.0
13,1.0,15.0
14,88.33333333333333,16.0
15,1.0,17.0
16,1.0,19.0
17,1.0,20.0
18,2.0,22.0
19,2.0,23.0
20,1.0,24.0
21,1.0,25.0
22,1.0,26.0
23,1.0,27.0
24,2.0,29.0
25,1.0,30.0
26,2.0,31.0
27,1.0,33.0
28,2.6666666666666665,34.0
29,1.0,35.0
30,1.0,36.0
31,1.0,37.0
32,2.6666666666666665,38.0
33,1.0,39.0
34,1.0,40.0
35,2.0,41.0
36,1.0,42.0
37,2.0,43.0
38,1.0,44.0
39,1.0,45.0
