,index,amp_fac,server_id,auth,data_item_size,err,implementation,mbz,mode,more,nb_items,request_code,response,seq,version,data
0,4659,1.0,IP_8080,1,0,0,3,0,7,0,3761,42,0,0,4,dummy
1,7245,1.0,IP_8080,1,0,0,3,0,7,0,3003,42,0,0,4,dummy
2,8084,1.0,IP_8080,1,0,0,3,0,7,0,2965,42,0,0,4,dummy
3,11815,1.0,IP_8080,1,0,0,3,0,7,0,784,42,0,0,2,dummy
4,15125,1.0,IP_8080,1,0,0,3,0,7,0,2776,42,0,0,4,dummy
5,17565,1.0,IP_8080,0,0,0,3,0,7,0,2801,42,0,0,4,dummy
6,23188,1.0,IP_8080,1,0,0,3,0,7,0,65,42,0,0,4,dummy
7,24628,1.0,IP_8080,1,0,0,3,0,7,0,1056,42,0,0,4,dummy
8,26513,1.0,IP_8080,1,0,0,3,0,7,0,2713,42,0,0,4,dummy
9,29990,1.0,IP_8080,1,0,0,3,0,7,0,4081,42,0,0,4,dummy
10,32679,1.0,IP_8080,0,0,0,3,0,7,0,3833,42,0,0,4,dummy
11,36914,1.0,IP_8080,1,0,0,3,0,7,0,2136,42,0,0,2,dummy
12,38529,1.0,IP_8080,1,0,0,3,0,7,0,2897,42,0,0,4,dummy
13,42884,1.0,IP_8080,1,0,0,3,0,7,0,3995,42,0,0,3,dummy
14,47373,1.0,IP_8080,1,0,0,3,0,7,0,2841,42,0,0,4,dummy
15,48247,1.0,IP_8080,1,0,0,3,0,7,0,3793,42,0,0,4,dummy
