,IP_8080
0,"{'amp_fac': 48.888888888888886, 'request_code': 1}"
1,"{'amp_fac': 2.5555555555555554, 'request_code': 4}"
2,"{'amp_fac': 27.11111111111111, 'request_code': 7}"
3,"{'amp_fac': 2.0, 'request_code': 13}"
4,"{'amp_fac': 53.77777777777778, 'request_code': 16}"
5,"{'amp_fac': 2.0, 'request_code': 22}"
6,"{'amp_fac': 2.0, 'request_code': 29}"
7,"{'amp_fac': 1.0, 'request_code': 30}"
8,"{'amp_fac': 2.0, 'request_code': 31}"
9,"{'amp_fac': 1.0, 'request_code': 36}"
10,"{'amp_fac': 1.0, 'request_code': 37}"
11,"{'amp_fac': 1.0, 'request_code': 44}"
